Date, Close/Last, Volume, Open, High, Low
12/07/2020, $1817.03, 1114391, $1815.55, $1829.29, $1803.04
12/04/2020, $1823.76, 1027242, $1820.22, $1829.4994, $1813.59
12/03/2020, $1821.84, 1236366, $1820.54, $1843.83, $1817
12/02/2020, $1824.97, 1471235, $1795.36, $1832.74, $1785.1695
12/01/2020, $1795.36, 1868134, $1766.655, $1821.7199, $1763.03
11/30/2020, $1754.4, 1620887, $1775.65, $1780.335, $1747.84
11/27/2020, $1787.02, 739507, $1764.54, $1797.01, $1764.54
11/25/2020, $1764.13, 979957, $1767.81, $1770.38, $1748.36
11/24/2020, $1763.9, 1400306, $1727.5, $1766.475, $1720.73
11/23/2020, $1727.56, 1127618, $1740.22, $1745.99, $1710.18
11/20/2020, $1736.38, 1385322, $1762, $1768.3625, $1735
11/19/2020, $1758.57, 1005340, $1733.23, $1763.49, $1730.02
11/18/2020, $1740.64, 1005377, $1756.64, $1765, $1738.5658
11/17/2020, $1761.66, 1066034, $1767.86, $1777.14, $1759.49
11/16/2020, $1774.03, 1273393, $1764.14, $1794.34, $1761.33
11/13/2020, $1772.26, 1487877, $1748, $1777.13, $1735.98
11/12/2020, $1742.82, 1324363, $1742, $1764.98, $1737.97
11/11/2020, $1747.23, 1591906, $1748.4, $1762.9, $1743.06
11/10/2020, $1737.72, 2151058, $1729.77, $1759.38, $1716.12
11/09/2020, $1761.42, 2672024, $1795.98, $1816.89, $1757.545
11/06/2020, $1759.73, 1431084, $1751.34, $1768.495, $1736.68
11/05/2020, $1762.5, 1987907, $1770.45, $1791.818, $1741.03
11/04/2020, $1745.85, 3567149, $1705.58, $1770.03, $1703
11/03/2020, $1645.66, 1571641, $1630.76, $1659, $1612.108
11/02/2020, $1624.32, 2211449, $1623.54, $1658.24, $1614.24
10/30/2020, $1616.11, 4996197, $1667.44, $1681.315, $1601.57
10/29/2020, $1556.88, 2770343, $1517.02, $1588.735, $1516.55
10/28/2020, $1510.8, 2258675, $1550.01, $1553.81, $1508.48
10/27/2020, $1598.88, 1295138, $1588.932, $1602, $1576.99
10/26/2020, $1584.29, 1791317, $1615, $1629.58, $1567.78
10/23/2020, $1632.98, 1527402, $1615.05, $1634.12, $1611.91
10/22/2020, $1606.66, 1525773, $1585, $1613.42, $1577.48
10/21/2020, $1585.99, 3016053, $1569.85, $1615.14, $1567.135
10/20/2020, $1551.08, 2085915, $1523.11, $1573.84, $1520.5
10/19/2020, $1529.95, 1486652, $1575.93, $1583.925, $1522.92
10/16/2020, $1567.7, 1710325, $1561.83, $1577.71, $1557.66
10/15/2020, $1555.47, 1561485, $1544.5, $1571.395, $1541.1301
10/14/2020, $1563.44, 1659228, $1574.6, $1583.85, $1545.895
10/13/2020, $1567.07, 1953609, $1577.01, $1585.16, $1558.63
10/12/2020, $1564.59, 2767164, $1538, $1588.42, $1529.3
10/09/2020, $1510.45, 1648340, $1492.86, $1511.85, $1487
10/08/2020, $1483.43, 1303802, $1465.45, $1488.0275, $1465.45
10/07/2020, $1459.14, 1805448, $1459.31, $1468.97, $1433.23
10/06/2020, $1451.02, 1304752, $1475.5, $1484.52, $1445.01
10/05/2020, $1482.83, 1080058, $1462.65, $1484.7, $1460.09
10/02/2020, $1455.6, 1561132, $1459.63, $1479.03, $1447.35
10/01/2020, $1487.9, 1644221, $1483.661, $1495.07, $1476.8
09/30/2020, $1465.6, 2046170, $1460.935, $1486.1975, $1455.755
09/29/2020, $1466.02, 1591112, $1463.91, $1472, $1454
09/28/2020, $1458.66, 1539236, $1471.99, $1472.99, $1446.28
09/25/2020, $1439.06, 1516677, $1425.05, $1445.94, $1407.68
09/24/2020, $1422.86, 1727611, $1402.68, $1437.99, $1402.15
09/23/2020, $1409.39, 1886299, $1452.09, $1453.08, $1402.68
09/22/2020, $1459.82, 1697542, $1450.32, $1463.97, $1429.495
09/21/2020, $1430.14, 2845405, $1431.62, $1440.06, $1402.68
09/18/2020, $1451.09, 3152788, $1488.3, $1495.2, $1431.62
09/17/2020, $1487.04, 2000356, $1485.81, $1498.66, $1462.46
09/16/2020, $1512.09, 1107169, $1542.48, $1554.37, $1511.59
09/15/2020, $1535.12, 1152055, $1527.89, $1550.99, $1522.1
09/14/2020, $1508.83, 2133007, $1531.647, $1557, $1505.11
09/11/2020, $1515.76, 1535337, $1528.15, $1538.695, $1493.02
09/10/2020, $1526.05, 1651194, $1550.18, $1573.66, $1520
09/09/2020, $1547.23, 1962078, $1548.9, $1558.72, $1525.17
09/08/2020, $1523.6, 2701586, $1525, $1555.55, $1516.5
09/04/2020, $1581.21, 2792533, $1609, $1634.99, $1537.9701
09/03/2020, $1629.51, 3186287, $1699.52, $1700, $1607.71
09/02/2020, $1717.39, 2476072, $1668.01, $1726.1022, $1660.19
09/01/2020, $1655.08, 1133766, $1632.16, $1659.22, $1629.53
08/31/2020, $1629.53, 1321097, $1643.57, $1644.5, $1625.33
08/28/2020, $1639.43, 1121195, $1629.47, $1641.35, $1625.605
